karata,secenje,boja,jasnoca,dubina,sto,cena,x,y,z
0.23,1,13,7,56.9,65,327,4.05,4.07,2.31
0.29,4,9,6,62.4,58,334,4.2,4.23,2.63
0.22,3,13,6,65.1,61,337,3.87,3.78,2.49
0.23,2,10,7,59.4,61,338,4,4.05,2.39
0.23,5,8,7,62.8,56,340,3.93,3.9,2.46
0.32,4,13,3,60.9,58,345,4.38,4.42,2.68
0.23,2,13,6,63.8,55,352,3.85,3.92,2.48
0.23,2,10,7,61,57,353,3.94,3.96,2.41
0.24,4,9,7,62.5,57,355,3.97,3.94,2.47
0.3,2,8,6,62.2,57,357,4.28,4.3,2.67
0.23,2,14,6,60.5,61,357,3.96,3.97,2.4
0.23,2,12,7,60.9,57,357,3.96,3.99,2.42
0.23,2,12,7,60,57,402,4,4.03,2.41
0.23,2,12,7,59.8,57,402,4.04,4.06,2.42
0.23,2,13,7,60.7,59,402,3.97,4.01,2.42
0.23,2,13,7,59.5,58,402,4.01,4.06,2.4
0.23,2,14,7,61.9,58,402,3.92,3.96,2.44
0.23,1,12,7,58.2,59,402,4.06,4.08,2.37
0.23,1,13,7,64.1,59,402,3.83,3.85,2.46
0.26,2,14,6,60.8,59,403,4.13,4.16,2.52
0.26,1,14,6,65.2,56,403,3.99,4.02,2.61
0.26,1,14,7,58.4,63,403,4.19,4.24,2.46
0.25,2,13,6,63.3,60,404,4,4.03,2.54
0.23,5,11,7,61.9,54,404,3.93,3.95,2.44
0.22,4,13,6,61.6,58,404,3.93,3.89,2.41
0.22,4,14,6,59.3,62,404,3.91,3.88,2.31
0.35,5,9,7,60.9,57,552,4.54,4.59,2.78
0.7,5,11,6,61.6,56,2757,5.7,5.67,3.5
0.71,2,13,6,62.4,57,2759,5.68,5.73,3.56
0.7,1,13,6,57.5,58,2759,5.85,5.9,3.38
0.7,1,12,7,59.4,62,2759,5.71,5.76,3.4
0.75,4,11,6,61.7,58,2760,5.85,5.79,3.59
0.8,5,9,7,62.9,56,2760,5.94,5.87,3.72
0.9,4,9,6,63,58,2761,6.16,6.12,3.87
0.73,5,12,6,62.6,56,2762,5.77,5.74,3.6
0.73,5,12,6,62.7,53,2762,5.8,5.75,3.62
0.71,5,11,6,62.4,54,2762,5.72,5.76,3.58
0.7,5,13,6,60.7,58,2762,5.73,5.76,3.49
0.7,2,12,6,61.7,63,2762,5.64,5.61,3.47
0.7,3,12,6,64.5,57,2762,5.57,5.53,3.58
0.7,3,12,6,65.3,55,2762,5.63,5.58,3.66
0.7,4,12,6,61.6,60,2762,5.65,5.59,3.46
0.77,5,10,6,62,56,2763,5.89,5.86,3.64
0.7,2,13,6,62.6,60,2765,5.62,5.65,3.53
0.77,2,10,7,61.3,60,2765,5.88,5.9,3.61
0.71,2,12,7,60.1,62,2765,5.74,5.77,3.46
0.71,4,12,7,61.8,59,2765,5.69,5.73,3.53
0.71,4,11,6,60.9,57,2766,5.78,5.75,3.51
0.71,4,11,6,59.8,56,2766,5.89,5.81,3.5
0.7,2,14,6,61.8,55,2767,5.68,5.72,3.52
0.7,2,12,7,60,57,2767,5.8,5.87,3.5
0.71,2,11,7,63.3,59,2768,5.52,5.61,3.52
0.71,4,14,6,62.5,60,2770,5.65,5.61,3.52
0.73,4,11,6,61.4,59,2770,5.83,5.76,3.56
0.73,4,11,6,60.7,58,2770,5.87,5.82,3.55
0.73,4,11,7,61.5,58,2770,5.79,5.75,3.55
0.73,4,11,6,59.2,59,2770,5.92,5.87,3.49
0.71,5,11,6,61.9,57,2771,5.73,5.77,3.56
0.71,1,13,6,59.2,61,2772,5.8,5.88,3.46
0.7,4,14,6,58,62,2773,5.87,5.78,3.38
1.17,2,8,3,60.2,61,2774,6.83,6.9,4.13
0.6,5,13,7,61.7,55,2774,5.41,5.44,3.35
0.83,1,9,6,64.6,54,2774,5.85,5.88,3.79
0.74,2,12,6,61.3,61,2775,5.8,5.84,3.57
0.72,2,11,6,63.7,56.4,2776,5.62,5.69,3.61
0.71,4,13,6,62.7,58,2776,5.74,5.68,3.58
0.71,5,13,6,62.2,57,2776,5.79,5.62,3.55
0.72,1,11,6,59.7,60.5,2776,5.8,5.84,3.47
0.7,2,14,7,62.7,58,2777,5.66,5.73,3.57
0.71,4,12,6,62.1,58,2777,5.67,5.7,3.53
0.71,2,12,6,62.8,57,2777,5.64,5.69,3.56
0.71,1,12,6,63.8,58,2777,5.61,5.64,3.59
0.71,1,12,6,57.8,60,2777,5.87,5.9,3.4
0.7,5,13,6,62.1,55,2777,5.7,5.67,3.53
0.7,4,13,6,61.1,60,2777,5.71,5.64,3.47
0.7,1,13,6,64.1,59,2777,5.64,5.59,3.6
0.73,2,10,6,60.8,56,2779,5.82,5.84,3.55
0.7,2,12,6,63.6,57,2780,5.61,5.65,3.58
0.77,4,11,6,61.2,58,2780,5.9,5.93,3.62
0.71,5,12,6,62.1,54,2780,5.68,5.72,3.54
0.74,5,11,7,61.5,55,2780,5.81,5.86,3.59
0.7,5,11,7,61.4,59,2780,5.64,5.73,3.49
1.01,4,12,3,61.8,60,2781,6.39,6.36,3.94
0.72,2,10,7,60.6,63,2782,5.83,5.76,3.51
0.76,5,11,6,61.3,56,2782,5.9,5.94,3.63
0.7,1,13,7,57.2,62,2782,5.81,5.77,3.31
0.7,4,13,7,62.9,60,2782,5.62,5.54,3.51
0.52,5,12,10,62.2,55,2783,5.14,5.18,3.21
0.72,2,12,6,63,54,2784,5.69,5.73,3.6
0.79,2,10,7,63.7,56,2784,5.85,5.92,3.75
0.72,2,12,6,63.6,58,2787,5.66,5.69,3.61
0.64,5,14,7,61.5,56,2787,5.54,5.55,3.41
0.83,2,9,7,61.1,60,2788,6.07,6.1,3.72
0.71,1,14,6,63.3,56,2788,5.64,5.68,3.58
0.77,1,11,7,59.4,64,2788,5.97,5.92,3.53
1.01,3,13,3,64.5,58,2788,6.29,6.21,4.03
0.55,5,11,10,60.9,57,2789,5.28,5.3,3.22
0.77,4,10,7,61.3,60,2789,5.9,5.88,3.61
0.64,5,11,10,61.3,56,2790,5.54,5.58,3.41
0.71,4,12,7,60.1,62,2790,5.77,5.74,3.46
0.71,4,12,7,61.8,59,2790,5.73,5.69,3.53
0.7,4,12,7,62.1,60,2792,5.71,5.65,3.53
0.7,4,12,7,60.7,60,2792,5.78,5.75,3.5
0.7,5,12,7,62.2,56,2792,5.73,5.68,3.55
0.7,2,13,6,62.9,57,2793,5.66,5.69,3.57
0.7,1,13,6,64.1,55,2793,5.6,5.66,3.61
0.76,5,9,6,61.3,56,2793,5.87,5.91,3.61
0.73,5,10,6,62.7,55,2793,5.72,5.76,3.6
0.71,2,13,6,60.7,56,2795,5.81,5.82,3.53
0.72,1,12,7,60.7,60,2795,5.74,5.72,3.48
0.72,4,9,10,63,57,2795,5.72,5.7,3.6
0.81,4,10,6,58,59,2795,6.17,6.13,3.57
0.72,4,11,6,62.9,57,2795,5.73,5.65,3.58
0.72,5,11,6,61.9,58,2797,5.72,5.75,3.55
0.74,5,10,7,61.8,58,2797,5.77,5.81,3.58
0.74,5,10,7,61.6,56,2797,5.81,5.82,3.58
0.8,2,10,6,63.4,60,2797,5.92,5.82,3.72
0.77,5,9,7,61.5,59,2798,5.87,5.91,3.62
0.6,2,11,10,61.6,56,2800,5.43,5.46,3.35
0.7,4,13,7,62.2,58,2800,5.6,5.66,3.5
0.74,4,11,7,62.9,60,2800,5.74,5.68,3.59
0.79,5,9,7,61.8,59,2800,5.92,5.95,3.67
0.61,5,11,10,62.3,56,2800,5.43,5.45,3.39
0.76,3,11,7,59,70,2800,5.89,5.8,3.46
0.96,5,12,3,60.7,55,2801,6.37,6.41,3.88
0.73,5,12,6,62.5,55,2801,5.8,5.76,3.61
0.73,4,12,6,62.7,58,2801,5.76,5.7,3.59
0.71,4,12,6,62.1,58,2801,5.7,5.67,3.53
0.71,1,12,6,57.8,60,2801,5.9,5.87,3.4
0.71,1,12,6,63.8,58,2801,5.64,5.61,3.59
0.71,4,12,6,62.8,57,2801,5.69,5.64,3.56
1.04,4,11,3,62.2,58,2801,6.46,6.41,4
0.53,5,12,10,61.9,54,2802,5.22,5.25,3.24
0.72,4,13,6,63,55,2802,5.79,5.61,3.59
0.72,4,12,7,62.4,58,2802,5.83,5.7,3.6
0.7,2,12,6,62.9,58,2803,5.63,5.65,3.55
0.71,5,11,6,61.3,56,2803,5.75,5.71,3.51
0.7,1,11,7,65.1,58,2803,5.56,5.59,3.63
0.71,4,12,6,62.6,58,2803,5.7,5.67,3.56
0.71,4,12,6,58,62,2803,5.85,5.81,3.38
0.71,4,11,7,62.4,61,2803,5.7,5.65,3.54
0.77,4,11,6,61.3,57,2803,5.93,5.88,3.62
0.71,4,11,6,59.9,60,2803,5.81,5.77,3.47
0.78,4,11,6,60.8,58,2803,6.03,5.95,3.64
0.71,2,11,7,63.5,55,2803,5.66,5.64,3.59
0.71,2,13,6,63.8,58,2804,5.62,5.66,3.6
0.71,2,13,6,64,57,2804,5.66,5.68,3.63
0.72,5,12,7,61.7,57,2804,5.74,5.77,3.55
0.72,2,12,7,62.2,58,2804,5.75,5.7,3.56
0.82,5,10,6,61.5,56,2804,6.01,6.08,3.72
0.74,4,12,6,61.7,58,2805,5.85,5.78,3.59
0.74,4,12,6,61.9,56,2805,5.8,5.77,3.58
0.73,4,12,6,62.5,57,2805,5.75,5.7,3.58
0.72,5,11,6,62.8,56,2805,5.74,5.7,3.59
0.74,3,12,6,61.1,68,2805,5.82,5.75,3.53
0.82,1,11,6,64,57,2805,5.92,5.89,3.78
0.71,2,12,7,62.2,58,2807,5.66,5.72,3.54
0.71,2,12,7,60,57,2807,5.84,5.9,3.52
0.8,2,10,6,62.8,57,2808,5.87,5.91,3.7
0.7,2,12,7,62,57,2808,5.64,5.71,3.52
1,3,11,3,66.4,59,2808,6.16,6.09,4.07
0.75,2,11,6,63.4,56,2808,5.78,5.74,3.65
1.2,3,12,3,64.6,56,2809,6.73,6.66,4.33
0.7,2,12,7,61.8,56,2810,5.63,5.7,3.5
0.7,2,12,7,59.9,60,2810,5.77,5.84,3.48
0.7,1,12,7,62.8,61,2810,5.57,5.61,3.51
1,3,8,6,65.7,59,2811,6.14,6.07,4.01
0.7,2,11,7,63,60,2812,5.57,5.64,3.53
0.7,2,12,6,59.5,58,2812,5.75,5.85,3.45
0.7,2,12,6,61.7,58,2812,5.63,5.69,3.49
0.29,2,13,7,61.9,55,555,4.28,4.33,2.66
0.29,2,13,7,62.4,55,555,4.2,4.25,2.63
0.34,5,10,6,61.5,56,555,4.47,4.5,2.76
0.34,5,10,6,60.4,57,555,4.54,4.57,2.75
0.34,5,9,7,61.8,55,555,4.48,4.52,2.78
0.34,5,9,7,62,56,555,4.5,4.53,2.8
0.3,5,11,7,62.3,56,555,4.29,4.31,2.68
0.29,5,12,7,61.6,56,555,4.26,4.31,2.64
0.43,2,13,3,58.4,62,555,4.94,5,2.9
